id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
9226414,19438285,Lion,Treptow - Köpenick,Alt  Treptow,52.489971,13.449382,Private room,22.000000,1,5,1,0
9348447,48516335,Joseppo,Pankow,Weißensee Ost,52.566982,13.461121,Entire home/apt,22.000000,2,44,1,279
9412596,23686566,Catia,Mitte,Parkviertel,52.546654,13.351445,Entire home/apt,22.000000,3,2,1,0
9536240,8250486,Singer Hostel Berlin,Mitte,Alexanderplatz,52.516266,13.425731,Shared room,22.000000,1,69,43,252
10051753,34927957,Carsten,Reinickendorf,MV 1,52.596607,13.358085,Private room,22.000000,1,222,2,73
10443514,53801254,Neele,Mitte,Parkviertel,52.547264,13.350919,Entire home/apt,22.000000,2,1,1,0
10542862,54366195,Kollé,Tempelhof - Schöneberg,Tempelhof,52.481190,13.382090,Shared room,22.000000,1,2,1,0
10546708,38970714,Lotti,Mitte,Parkviertel,52.556278,13.347118,Private room,22.000000,2,3,1,0
10562620,3269308,J,Neukölln,Neuköllner Mitte/Zentrum,52.471405,13.436942,Private room,22.000000,1,1,1,0
10951474,56796487,Helena,Charlottenburg-Wilm.,Kantstraße,52.510513,13.308805,Private room,22.000000,1,24,1,39
11427141,37493694,Anaelle,Neukölln,Neuköllner Mitte/Zentrum,52.467522,13.433200,Private room,22.000000,7,0,1,0
11613589,2575230,Nora,Tempelhof - Schöneberg,Schöneberg-Süd,52.480721,13.349397,Private room,22.000000,14,0,1,0
11711900,21138885,Attila,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.514988,13.303938,Private room,22.000000,1,0,1,0
11724795,62358241,Eloise,Lichtenberg,Frankfurter Allee Süd,52.504333,13.485661,Private room,22.000000,3,3,1,0
11857854,5060081,Ilka,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.507141,13.468839,Private room,22.000000,2,11,1,82
11923493,27765761,Léa,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.495827,13.434591,Private room,22.000000,1,1,1,0
12312952,25929144,Gregor & Family,Pankow,Weißensee,52.550404,13.457791,Entire home/apt,22.000000,2,2,1,0
12336465,23234409,Julia,Mitte,Wedding Zentrum,52.544239,13.357408,Private room,22.000000,5,1,1,0
12701598,24003199,Moni,Pankow,Pankow Süd,52.563080,13.405177,Private room,22.000000,4,1,4,310
12850962,15211787,Antonia,Mitte,Parkviertel,52.551815,13.339151,Private room,22.000000,3,7,1,0
13077745,72522890,Corrie,Pankow,Prenzlauer Berg Ost,52.529896,13.444388,Private room,22.000000,3,10,1,0
13359185,20618897,Anne,Neukölln,Neuköllner Mitte/Zentrum,52.481388,13.430944,Private room,22.000000,2,5,2,0
13500127,68815779,Ariana,Steglitz - Zehlendorf,Zehlendorf  Nord,52.449440,13.249872,Private room,22.000000,2,99,1,147
13529156,77760823,Flint,Neukölln,Rixdorf,52.476330,13.441938,Private room,22.000000,3,0,1,0
13991751,14231491,Lasse,Neukölln,Rixdorf,52.480789,13.440997,Private room,22.000000,60,0,1,116
14118648,85098333,Thomas,Tempelhof - Schöneberg,Schöneberg-Süd,52.488346,13.337532,Private room,22.000000,3,4,2,0
14227798,48661615,Jacopo,Mitte,Wedding Zentrum,52.545967,13.369085,Private room,22.000000,2,5,1,0
